Time,IL1,IL2,Rede,Vbus11,Vpv,HIL0 digital input 19,HIL0 digital input 15,HIL0 digital input 18,HIL0 digital input 14,HIL0 digital input 28
0.0223,4.9054255,0.91610223,154.57985,415.82062,22.739815,1.0,1.0,0.0,0.0,1.0
0.0224,5.3826823,0.843908,142.75499,416.28244,22.741991,0.0,1.0,1.0,0.0,1.0
0.0225,4.688946,0.73194104,132.31453,416.8129,22.744425,0.0,0.0,1.0,0.0,1.0
0.0226,3.6320333,0.68843323,122.91612,417.28104,22.74668,0.0,0.0,1.0,0.0,1.0
0.0227,2.6609972,0.6466182,113.90539,417.8447,22.748753,0.0,0.0,1.0,0.0,1.0
0.0228,1.6912537,0.5893962,104.52951,418.40918,22.750418,0.0,0.0,1.0,0.0,1.0
0.0229,0.6914918,0.53225696,94.17015,418.997,22.75218,0.0,0.0,1.0,0.0,1.0
0.023,-0.09893357,0.46511045,82.52834,419.60104,22.754036,0.0,0.0,1.0,0.0,1.0
0.0231,-0.9362979,0.41331068,69.70958,420.2215,22.756031,0.0,0.0,1.0,0.0,1.0
0.0232,-1.9442288,0.37035426,56.18762,420.8475,22.758343,0.0,1.0,1.0,0.0,1.0
0.0233,-2.4671917,0.30343693,42.66126,421.48602,22.760845,0.0,1.0,1.0,0.0,1.0
0.0234,-3.3803985,0.2437313,29.849104,422.09732,22.763052,0.0,1.0,1.0,0.0,1.0
0.0235,-3.7354639,0.15519474,18.283854,422.7095,22.765429,0.0,1.0,1.0,0.0,1.0
0.0236,-4.5087085,0.09521609,8.165956,423.284,22.767807,0.0,1.0,1.0,0.0,1.0
0.0237,-5.224925,0.02030926,-0.68297076,423.84656,22.770102,0.0,1.0,0.0,0.0,1.0
0.0238,-5.522608,-0.0530335,-8.75702,424.42123,22.772257,0.0,1.0,0.0,0.0,1.0
0.0239,-6.4515452,-0.09776876,-16.715857,424.93295,22.774208,0.0,1.0,0.0,0.0,1.0
0.024,-6.4078083,-0.19180486,-25.194836,425.47714,22.776167,1.0,1.0,0.0,0.0,1.0
0.0241,-5.1137257,-0.24560471,-34.632446,426.0888,22.777843,1.0,1.0,0.0,0.0,1.0
0.0242,-5.16528,-0.25297758,-45.1646,426.60275,22.779152,1.0,1.0,0.0,0.0,1.0
0.0243,-4.167753,-0.3454941,-56.613136,427.0887,22.780357,1.0,1.0,0.0,0.0,1.0
0.0244,-3.6278472,-0.41670713,-68.56661,427.56107,22.781315,1.0,1.0,0.0,0.0,1.0
0.0245,-2.8324509,-0.48231336,-80.52364,427.9871,22.782045,1.0,1.0,0.0,0.0,1.0
0.0246,-2.3973904,-0.52434486,-92.05168,428.3722,22.78292,1.0,1.0,0.0,0.0,1.0
0.0247,-1.3500174,-0.6065361,-102.91162,428.69135,22.78373,1.0,1.0,0.0,0.0,1.0
0.0248,-0.4363514,-0.677459,-113.11144,429.00082,22.784145,1.0,1.0,0.0,0.0,1.0
0.0249,0.31542093,-0.7459901,-122.876045,429.23126,22.784445,1.0,1.0,0.0,0.0,1.0
0.025,1.2531717,-0.8094487,-132.54701,429.4828,22.784592,1.0,1.0,0.0,0.0,1.0
0.0251,2.0230355,-0.8396809,-142.44777,429.6536,22.784548,1.0,1.0,0.0,0.0,1.0
0.0252,3.048184,-0.8862883,-152.75937,429.7571,22.784178,0.0,1.0,0.0,0.0,1.0
0.0253,3.5882094,-0.94513327,-163.44681,429.753,22.783596,0.0,1.0,1.0,0.0,1.0
0.0254,3.1920648,-1.0142326,-174.25954,429.81223,22.78275,0.0,1.0,1.0,0.0,1.0
0.0255,2.1711512,-1.0447682,-184.80388,429.7702,22.78172,0.0,1.0,1.0,0.0,1.0
0.0256,1.8673658,-1.1162422,-194.66362,429.6523,22.780304,0.0,1.0,1.0,0.0,1.0
