Time,IL2,Rede,Bus,HIL0 digital input 29
0.033676,1.645864,309.87213,400.0,1
0.033677,1.6468968,309.86136,400.0,1
0.033678,1.648002,309.85074,400.0,1
0.033679,1.650341,309.84,400.0,1
0.03368,1.6518872,309.82938,400.0,1
0.033681,1.6511537,309.8188,400.0,1
0.033682,1.6498265,309.808,400.0,1
0.033683,1.6483696,309.79742,400.0,1
0.033684,1.6471558,309.78665,400.0,1
0.033685,1.6464809,309.77606,400.0,1
0.033686,1.6465764,309.7653,400.0,1
0.033687,1.6476185,309.7547,400.0,1
0.033688,1.6485851,309.74377,400.0,1
0.033689,1.6508888,309.73245,400.0,1
0.03369,1.6525978,309.72113,400.0,1
0.033691,1.6518201,309.70963,400.0,1
0.033692,1.6504582,309.6983,400.0,1
0.033693,1.6489742,309.6868,400.0,1
0.033694,1.6477389,309.67545,400.0,1
0.033695,1.6470474,309.66397,400.0,1
0.033696,1.6471294,309.65262,400.0,1
0.033697,1.6481606,309.6413,400.0,1
0.033698,1.6501895,309.6298,400.0,1
0.033699,1.6516467,309.61847,400.0,1
0.0337,1.651417,309.60696,400.0,1
0.033701,1.6501083,309.59564,400.0,1
0.033702,1.6482811,309.58414,400.0,1
0.033703,1.6463898,309.5728,400.0,1
0.033704,1.6447997,309.5613,400.0,1
0.033705,1.6437998,309.5496,400.0,1
0.033706,1.6436157,309.53754,400.0,1
0.033707,1.6444191,309.5253,400.0,1
0.033708,1.6462364,309.51324,400.0,1
0.033709,1.6474018,309.501,400.0,1
0.03371,1.6468861,309.48895,400.0,1
0.033711,1.6453531,309.47668,400.0,1
0.033712,1.6433557,309.46463,400.0,1
0.033713,1.6413423,309.45258,400.0,1
0.033714,1.6396723,309.44034,400.0,1
0.033715,1.6386303,309.42828,400.0,1
0.033716,1.6384377,309.41605,400.0,1
0.033717,1.6392624,309.404,400.0,1
0.033718,1.6411107,309.39172,400.0,1
0.033719,1.6422713,309.3797,400.0,1
0.03372,1.6417563,309.36743,400.0,1
0.033721,1.6402643,309.35538,400.0,1
0.033722,1.6383433,309.3425,400.0,1
0.033723,1.6364367,309.3297,400.0,1
0.033724,1.6349003,309.31693,400.0,1
0.033725,1.634015,309.30396,400.0,1
0.033726,1.633999,309.29117,400.0,1
0.033727,1.6350178,309.27817,400.0,1
0.033728,1.6370412,309.2654,400.0,1
0.033729,1.638325,309.2524,400.0,1
0.03373,1.6379153,309.23965,400.0,1
0.033731,1.636566,309.22687,400.0,1
0.033732,1.6348188,309.21387,400.0,1
0.033733,1.6331121,309.20108,400.0,1
0.033734,1.6317966,309.1881,400.0,1
0.033735,1.6311496,309.17532,400.0,1
0.033736,1.6313857,309.16235,400.0,1
0.033737,1.6326672,309.14957,400.0,1
0.033738,1.6349189,309.1364,400.0,1
0.033739,1.6364056,309.1229,400.0,1
0.03374,1.6361643,309.1094,400.0,1
0.033741,1.63501,309.09567,400.0,1
0.033742,1.6334785,309.08218,400.0,1
0.033743,1.6320035,309.06845,400.0,1
0.033744,1.6309319,309.05493,400.0,1
0.033745,1.6305367,309.04123,400.0,1
0.033746,1.6310297,309.0277,400.0,1
0.033747,1.6325705,309.0142,400.0,1
0.033748,1.6350486,309.00046,400.0,1
0.033749,1.6367598,308.98697,400.0,1
0.03375,1.636706,308.97324,400.0,1
0.033751,1.6357485,308.95972,400.0,1
0.033752,1.6344196,308.946,400.0,1
0.033753,1.6331497,308.9325,400.0,1
0.033754,1.632283,308.91876,400.0,1
