Time,IL1,IL2,Rede,Vbus11,Vpv
0.02172,-3.6925547,0.080237985,12.087774,433.25443,21.041952
0.02174,-3.731211,0.073824525,9.818745,433.42398,21.041218
0.02176,-3.520801,0.05298782,7.6077824,433.61862,21.040558
0.02178,-3.1991413,0.019470632,5.4532843,433.8248,21.039991
0.0218,-2.733918,-0.019025087,3.3512776,434.0509,21.039568
0.02182,-2.314123,-0.05337442,1.3031064,434.21826,21.039232
0.02184,-1.9561716,-0.07334662,-0.7011168,434.41223,21.039087
0.02186,-1.8318862,-0.08022543,-2.6703906,434.61145,21.039053
0.02188,-1.6814202,-0.08720806,-4.6086755,434.8271,21.039131
0.0219,-1.2773968,-0.10103645,-6.5218005,435.0,21.039402
0.02192,-0.8223999,-0.1116782,-8.414014,435.18948,21.040005
0.02194,-0.64435315,-0.112496585,-10.293002,435.38757,21.040823
0.02196,-0.40816393,-0.11064128,-12.1681185,435.58914,21.041803
0.02198,-0.13338652,-0.11486203,-14.0439205,435.75397,21.042898
0.022,0.23288915,-0.12292191,-15.926396,435.93613,21.044157
0.02202,0.5208626,-0.1311217,-17.823792,436.12936,21.04555
0.02204,0.86022246,-0.1410297,-19.739166,436.32397,21.047062
0.02206,1.2114934,-0.15542205,-21.680738,436.5395,21.048763
0.02208,1.6791704,-0.16968572,-23.651833,436.71735,21.050686
0.0221,1.9297727,-0.17179066,-25.656933,436.91098,21.052832
0.02212,2.0682297,-0.17166135,-27.705685,437.08987,21.055202
0.02214,2.3138604,-0.18489686,-29.795511,437.29242,21.05773
0.02216,2.8284442,-0.2096497,-31.932405,437.4686,21.060404
0.02218,3.3128107,-0.23069027,-34.11708,437.6372,21.06322
0.0222,3.5838895,-0.24344875,-36.351402,437.80823,21.066175
0.02222,3.9552348,-0.25359708,-38.643612,438.0057,21.069357
0.02224,4.338476,-0.256436,-40.98612,438.20108,21.072762
0.02226,4.534783,-0.25149655,-43.3823,438.37265,21.07624
0.02228,4.6885495,-0.25055638,-45.82974,438.53165,21.079815
0.0223,5.051134,-0.26590657,-48.32737,438.7061,21.083496
0.02232,5.587305,-0.29121518,-50.879868,438.8715,21.08724
0.02234,5.5478144,-0.30956843,-53.47662,439.04724,21.091105
0.02236,5.810921,-0.3206033,-56.11879,439.20096,21.095083
0.02238,5.6611543,-0.30964524,-58.801224,439.42316,21.099253
0.0224,3.9700434,-0.29170883,-61.52052,439.67233,21.103565
0.02242,3.4853673,-0.29481512,-64.27685,439.85007,21.10803
0.02244,3.5835228,-0.31671798,-67.059265,440.01477,21.112593
0.02246,3.2607305,-0.33156115,-69.86774,440.2121,21.117353
0.02248,2.9068847,-0.3440539,-72.695564,440.37585,21.122234
0.0225,2.5544913,-0.3605865,-75.538216,440.5436,21.12734
0.02252,2.3917005,-0.38073677,-78.39185,440.7348,21.1326
0.02254,1.8766453,-0.39703348,-81.247765,440.90067,21.138046
0.02256,1.7587516,-0.4223623,-84.10602,441.03186,21.143644
0.02258,1.6166434,-0.44545624,-86.95992,441.1895,21.149393
0.0226,1.3217264,-0.45998427,-89.805275,441.38153,21.155197
0.02262,0.93427825,-0.46908453,-92.63589,441.53726,21.161127
0.02264,0.33281192,-0.48139492,-95.44696,441.6543,21.167124
0.02266,0.04602238,-0.51361626,-98.23983,441.7575,21.173132
0.02268,0.2515456,-0.56007344,-101.00924,441.89264,21.179338
0.0227,0.32548597,-0.58979076,-103.75254,442.09192,21.185534
