w,g1,f1
105.21,17.963,-72.755
105.22,17.961,-72.752
105.22,17.96,-72.748
105.23,17.959,-72.745
105.24,17.957,-72.742
105.24,17.956,-72.738
105.25,17.955,-72.735
105.26,17.954,-72.731
105.27,17.952,-72.728
105.27,17.951,-72.724
105.28,17.95,-72.721
105.29,17.948,-72.717
105.3,17.947,-72.714
105.3,17.946,-72.71
105.31,17.944,-72.707
105.32,17.943,-72.704
105.32,17.942,-72.7
105.33,17.941,-72.697
105.34,17.939,-72.693
105.35,17.938,-72.69
105.35,17.937,-72.686
105.36,17.935,-72.683
105.37,17.934,-72.679
105.38,17.933,-72.676
105.38,17.932,-72.672
105.39,17.93,-72.669
105.4,17.929,-72.665
105.4,17.928,-72.662
105.41,17.926,-72.658
105.42,17.925,-72.655
105.43,17.924,-72.652
105.43,17.923,-72.648
105.44,17.921,-72.645
105.45,17.92,-72.641
105.46,17.919,-72.638
105.46,17.918,-72.634
105.47,17.916,-72.631
105.48,17.915,-72.627
105.48,17.914,-72.624
105.49,17.912,-72.62
105.5,17.911,-72.617
105.51,17.91,-72.613
105.51,17.909,-72.61
105.52,17.907,-72.607
105.53,17.906,-72.603
105.54,17.905,-72.6
105.54,17.903,-72.596
105.55,17.902,-72.593
105.56,17.901,-72.589
105.57,17.9,-72.586
105.57,17.898,-72.582
105.58,17.897,-72.579
105.59,17.896,-72.575
105.59,17.894,-72.572
105.6,17.893,-72.568
105.61,17.892,-72.565
105.62,17.891,-72.561
105.62,17.889,-72.558
105.63,17.888,-72.555
105.64,17.887,-72.551
105.65,17.885,-72.548
105.65,17.884,-72.544
105.66,17.883,-72.541
105.67,17.882,-72.537
105.67,17.88,-72.534
105.68,17.879,-72.53
105.69,17.878,-72.527
105.7,17.877,-72.523
105.7,17.875,-72.52
105.71,17.874,-72.516
105.72,17.873,-72.513
105.73,17.871,-72.509
105.73,17.87,-72.506
105.74,17.869,-72.502
105.75,17.868,-72.499
105.75,17.866,-72.495
105.76,17.865,-72.492
105.77,17.864,-72.489
105.78,17.862,-72.485
105.78,17.861,-72.482
105.79,17.86,-72.478
105.8,17.859,-72.475
105.81,17.857,-72.471
105.81,17.856,-72.468
105.82,17.855,-72.464
105.83,17.854,-72.461
105.84,17.852,-72.457
105.84,17.851,-72.454
105.85,17.85,-72.45
105.86,17.848,-72.447
105.86,17.847,-72.443
105.87,17.846,-72.44
105.88,17.845,-72.436
105.89,17.843,-72.433
105.89,17.842,-72.429
105.9,17.841,-72.426
105.91,17.84,-72.423
105.92,17.838,-72.419
105.92,17.837,-72.416
105.93,17.836,-72.412
105.94,17.834,-72.409
105.94,17.833,-72.405
105.95,17.832,-72.402
105.96,17.831,-72.398
105.97,17.829,-72.395
105.97,17.828,-72.391
105.98,17.827,-72.388
105.99,17.826,-72.384
106,17.824,-72.381
106,17.823,-72.377
106.01,17.822,-72.374
106.02,17.82,-72.37
106.03,17.819,-72.367
106.03,17.818,-72.363
106.04,17.817,-72.36
106.05,17.815,-72.356
106.05,17.814,-72.353
106.06,17.813,-72.349
106.07,17.812,-72.346
106.08,17.81,-72.342
106.08,17.809,-72.339
106.09,17.808,-72.336
106.1,17.806,-72.332
106.11,17.805,-72.329
106.11,17.804,-72.325
106.12,17.803,-72.322
106.13,17.801,-72.318
106.14,17.8,-72.315
106.14,17.799,-72.311
106.15,17.798,-72.308
106.16,17.796,-72.304
106.16,17.795,-72.301
106.17,17.794,-72.297
106.18,17.793,-72.294
106.19,17.791,-72.29
106.19,17.79,-72.287
106.2,17.789,-72.283
106.21,17.787,-72.28
106.22,17.786,-72.276
106.22,17.785,-72.273
106.23,17.784,-72.269
106.24,17.782,-72.266
106.25,17.781,-72.262
106.25,17.78,-72.259
106.26,17.779,-72.255
106.27,17.777,-72.252
106.27,17.776,-72.248
106.28,17.775,-72.245
106.29,17.774,-72.241
106.3,17.772,-72.238
106.3,17.771,-72.234
106.31,17.77,-72.231
106.32,17.768,-72.227
106.33,17.767,-72.224
106.33,17.766,-72.22
106.34,17.765,-72.217
106.35,17.763,-72.214
106.36,17.762,-72.21
106.36,17.761,-72.207
106.37,17.76,-72.203
106.38,17.758,-72.2
106.38,17.757,-72.196
106.39,17.756,-72.193
