w,g1,f1
104.33,18.065,-73.035
104.33,18.063,-73.031
104.34,18.062,-73.028
104.35,18.061,-73.024
104.35,18.059,-73.021
104.36,18.058,-73.018
104.37,18.057,-73.014
104.38,18.056,-73.011
104.38,18.054,-73.007
104.39,18.053,-73.004
104.4,18.052,-73
104.4,18.05,-72.997
104.41,18.049,-72.993
104.42,18.048,-72.99
104.43,18.046,-72.986
104.43,18.045,-72.983
104.44,18.044,-72.98
104.45,18.043,-72.976
104.46,18.041,-72.973
104.46,18.04,-72.969
104.47,18.039,-72.966
104.48,18.037,-72.962
104.48,18.036,-72.959
104.49,18.035,-72.955
104.5,18.033,-72.952
104.51,18.032,-72.948
104.51,18.031,-72.945
104.52,18.03,-72.942
104.53,18.028,-72.938
104.53,18.027,-72.935
104.54,18.026,-72.931
104.55,18.024,-72.928
104.56,18.023,-72.924
104.56,18.022,-72.921
104.57,18.02,-72.917
104.58,18.019,-72.914
104.59,18.018,-72.91
104.59,18.017,-72.907
104.6,18.015,-72.903
104.61,18.014,-72.9
104.61,18.013,-72.897
104.62,18.011,-72.893
104.63,18.01,-72.89
104.64,18.009,-72.886
104.64,18.007,-72.883
104.65,18.006,-72.879
104.66,18.005,-72.876
104.66,18.004,-72.872
104.67,18.002,-72.869
104.68,18.001,-72.865
104.69,18,-72.862
104.69,17.998,-72.859
104.7,17.997,-72.855
104.71,17.996,-72.852
104.72,17.995,-72.848
104.72,17.993,-72.845
104.73,17.992,-72.841
104.74,17.991,-72.838
104.74,17.989,-72.834
104.75,17.988,-72.831
104.76,17.987,-72.827
104.77,17.985,-72.824
104.77,17.984,-72.82
104.78,17.983,-72.817
104.79,17.982,-72.813
104.79,17.98,-72.81
104.8,17.979,-72.807
104.81,17.978,-72.803
104.82,17.976,-72.8
104.82,17.975,-72.796
104.83,17.974,-72.793
104.84,17.973,-72.789
104.85,17.971,-72.786
104.85,17.97,-72.782
104.86,17.969,-72.779
104.87,17.967,-72.775
104.87,17.966,-72.772
104.88,17.965,-72.768
104.89,17.964,-72.765
104.9,17.962,-72.761
104.9,17.961,-72.758
104.91,17.96,-72.755
104.92,17.958,-72.751
104.93,17.957,-72.748
104.93,17.956,-72.744
104.94,17.955,-72.741
104.95,17.953,-72.737
104.95,17.952,-72.734
104.96,17.951,-72.73
104.97,17.949,-72.727
104.98,17.948,-72.723
104.98,17.947,-72.72
104.99,17.945,-72.716
105,17.944,-72.713
105.01,17.943,-72.709
105.01,17.942,-72.706
105.02,17.94,-72.702
105.03,17.939,-72.699
105.03,17.938,-72.696
105.04,17.936,-72.692
105.05,17.935,-72.689
105.06,17.934,-72.685
105.06,17.933,-72.682
105.07,17.931,-72.678
105.08,17.93,-72.675
105.08,17.929,-72.671
105.09,17.927,-72.668
105.1,17.926,-72.664
105.11,17.925,-72.661
105.11,17.924,-72.657
105.12,17.922,-72.654
105.13,17.921,-72.65
105.14,17.92,-72.647
105.14,17.918,-72.643
105.15,17.917,-72.64
105.16,17.916,-72.637
105.16,17.915,-72.633
105.17,17.913,-72.63
105.18,17.912,-72.626
105.19,17.911,-72.623
105.19,17.91,-72.619
105.2,17.908,-72.616
105.21,17.907,-72.612
105.22,17.906,-72.609
105.22,17.904,-72.605
105.23,17.903,-72.602
105.24,17.902,-72.598
105.24,17.901,-72.595
